Date_dec,date_dec_yearly,date_dec_weekly,RentedBikeCount,Hour,Temperature,Humidity,WindSpeed,Visibility,Visibility_2000_or_more,DewPointTemperature,SolarRadiation,Rainfall,Snowfall,Seasons_Winter,Seasons_Summer,Seasons_Autumn,Seasons_Spring,Holiday,FunctioningDay,logCount
2017.9167,0.9167,6,254,0,-5.2,37,2.2,2000,1,-17.6,0.0,0.0,0.0,1,0,0,0,0,1,5.541263545158426
2017.9167,0.9167,6,204,1,-5.5,38,0.8,2000,1,-17.6,0.0,0.0,0.0,1,0,0,0,0,1,5.3230099791384085
2017.9167,0.9167,6,173,2,-6.0,39,1.0,2000,1,-17.7,0.0,0.0,0.0,1,0,0,0,0,1,5.159055299214529
2017.9167,0.9167,6,107,3,-6.2,40,0.9,2000,1,-17.6,0.0,0.0,0.0,1,0,0,0,0,1,4.68213122712422
2017.9167,0.9167,6,78,4,-6.0,36,2.3,2000,1,-18.6,0.0,0.0,0.0,1,0,0,0,0,1,4.3694478524670215
2017.9167,0.9167,6,100,5,-6.4,37,1.5,2000,1,-18.7,0.0,0.0,0.0,1,0,0,0,0,1,4.61512051684126
2017.9167,0.9167,6,181,6,-6.6,35,1.3,2000,1,-19.5,0.0,0.0,0.0,1,0,0,0,0,1,5.204006687076795
2017.9167,0.9167,6,460,7,-7.4,38,0.9,2000,1,-19.3,0.0,0.0,0.0,1,0,0,0,0,1,6.133398042996649
2017.9167,0.9167,6,930,8,-7.6,37,1.1,2000,1,-19.8,0.01,0.0,0.0,1,0,0,0,0,1,6.836259277277067
2017.9167,0.9167,6,490,9,-6.5,27,0.5,1928,0,-22.4,0.23,0.0,0.0,1,0,0,0,0,1,6.19644412779452
2017.9167,0.9167,6,339,10,-3.5,24,1.2,1996,0,-21.2,0.65,0.0,0.0,1,0,0,0,0,1,5.8289456176102075
2017.9167,0.9167,6,360,11,-0.5,21,1.3,1936,0,-20.2,0.94,0.0,0.0,1,0,0,0,0,1,5.8888779583328805
2017.9167,0.9167,6,449,12,1.7,23,1.4,2000,1,-17.2,1.11,0.0,0.0,1,0,0,0,0,1,6.1092475827643655
2017.9167,0.9167,6,451,13,2.4,25,1.6,2000,1,-15.6,1.16,0.0,0.0,1,0,0,0,0,1,6.113682179832232
2017.9167,0.9167,6,447,14,3.0,26,2.0,2000,1,-14.6,1.01,0.0,0.0,1,0,0,0,0,1,6.104793232414985
2017.9167,0.9167,6,463,15,2.1,36,3.2,2000,1,-11.4,0.54,0.0,0.0,1,0,0,0,0,1,6.139884552226255
2017.9167,0.9167,6,484,16,1.2,54,4.2,793,0,-7.0,0.24,0.0,0.0,1,0,0,0,0,1,6.184148890937483
2017.9167,0.9167,6,555,17,0.8,58,1.6,2000,1,-6.5,0.08,0.0,0.0,1,0,0,0,0,1,6.320768294250582
2017.9167,0.9167,6,862,18,0.6,66,1.4,2000,1,-5.0,0.0,0.0,0.0,1,0,0,0,0,1,6.760414691083428
2017.9167,0.9167,6,600,19,0.0,77,1.7,2000,1,-3.5,0.0,0.0,0.0,1,0,0,0,0,1,6.398594934535208
2017.9167,0.9167,6,426,20,-0.3,79,1.5,1913,0,-3.5,0.0,0.0,0.0,1,0,0,0,0,1,6.056784013228625
2017.9167,0.9167,6,405,21,-0.8,81,0.8,1687,0,-3.6,0.0,0.0,0.0,1,0,0,0,0,1,6.0063531596017325
2017.9167,0.9167,6,398,22,-0.9,83,1.5,1380,0,-3.4,0.0,0.0,0.0,1,0,0,0,0,1,5.988961416889864
2017.9167,0.9167,6,323,23,-1.3,84,1.0,1265,0,-3.6,0.0,0.0,0.0,1,0,0,0,0,1,5.780743515792329
2017.9194,0.9194,7,328,0,-1.8,87,1.1,994,0,-3.6,0.0,0.0,0.0,1,0,0,0,0,1,5.796057750765372
2017.9194,0.9194,7,308,1,-2.2,86,0.6,990,0,-4.2,0.0,0.0,0.0,1,0,0,0,0,1,5.733341276897746
2017.9194,0.9194,7,262,2,-2.9,86,1.5,1256,0,-4.9,0.0,0.0,0.0,1,0,0,0,0,1,5.572154032177765
2017.9194,0.9194,7,167,3,-3.5,81,2.2,1221,0,-6.2,0.0,0.0,0.0,1,0,0,0,0,1,5.123963979403259
2017.9194,0.9194,7,89,4,-3.8,79,2.0,1167,0,-6.9,0.0,0.0,0.0,1,0,0,0,0,1,4.499809670330265
2017.9194,0.9194,7,79,5,-4.0,79,1.5,1202,0,-7.1,0.0,0.0,0.0,1,0,0,0,0,1,4.382026634673881
2017.9194,0.9194,7,70,6,-4.3,82,2.1,1178,0,-6.9,0.0,0.0,0.0,1,0,0,0,0,1,4.2626798770413155
2017.9194,0.9194,7,146,7,-4.4,81,2.5,1276,0,-7.1,0.0,0.0,0.0,1,0,0,0,0,1,4.990432586778736
2017.9194,0.9194,7,219,8,-4.2,79,2.1,1436,0,-7.3,0.01,0.0,0.0,1,0,0,0,0,1,5.393627546352361
2017.9194,0.9194,7,328,9,-2.9,68,1.6,1487,0,-7.9,0.3,0.0,0.0,1,0,0,0,0,1,5.796057750765372
2017.9194,0.9194,7,334,10,-0.4,57,1.6,1309,0,-7.8,0.8,0.0,0.0,1,0,0,0,0,1,5.814130531825066
2017.9194,0.9194,7,388,11,1.9,49,1.8,1406,0,-7.7,1.0,0.0,0.0,1,0,0,0,0,1,5.963579343618446
2017.9194,0.9194,7,479,12,4.3,41,1.3,1666,0,-7.8,1.09,0.0,0.0,1,0,0,0,0,1,6.173786103901937
2017.9194,0.9194,7,606,13,6.0,36,1.8,1780,0,-7.9,1.12,0.0,0.0,1,0,0,0,0,1,6.408528791059498
2017.9194,0.9194,7,611,14,7.3,35,1.3,1955,0,-7.1,0.99,0.0,0.0,1,0,0,0,0,1,6.416732282512326
2017.9194,0.9194,7,589,15,7.6,41,2.3,1953,0,-4.8,0.74,0.0,0.0,1,0,0,0,0,1,6.380122536899765
2017.9194,0.9194,7,618,16,6.4,48,2.6,1945,0,-3.8,0.22,0.0,0.0,1,0,0,0,0,1,6.428105272684596
2017.9194,0.9194,7,572,17,6.0,51,2.5,1891,0,-3.3,0.06,0.0,0.0,1,0,0,0,0,1,6.35088571671474
2017.9194,0.9194,7,489,18,5.5,53,1.5,1697,0,-3.3,0.0,0.0,0.0,1,0,0,0,0,1,6.194405391104672
2017.9194,0.9194,7,385,19,5.0,52,2.3,1666,0,-4.0,0.0,0.0,0.0,1,0,0,0,0,1,5.955837369464831
2017.9194,0.9194,7,359,20,4.6,51,1.2,1585,0,-4.6,0.0,0.0,0.0,1,0,0,0,0,1,5.886104031450156
2017.9194,0.9194,7,377,21,4.1,55,1.2,1448,0,-4.1,0.0,0.0,0.0,1,0,0,0,0,1,5.934894195619588
2017.9194,0.9194,7,354,22,3.5,54,1.5,1446,0,-4.9,0.0,0.0,0.0,1,0,0,0,0,1,5.872117789475416
2017.9194,0.9194,7,366,23,4.0,56,1.0,1352,0,-4.0,0.0,0.0,0.0,1,0,0,0,0,1,5.905361848054571
2017.9221,0.9221,1,342,0,4.0,58,1.4,1296,0,-3.5,0.0,0.0,0.0,1,0,0,0,0,1,5.83773044716594
2017.9221,0.9221,1,227,1,3.9,69,1.7,485,0,-1.2,0.0,0.0,0.0,1,0,0,0,0,1,5.429345628954441
2017.9221,0.9221,1,228,2,3.3,79,1.4,830,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,5.43372200355424
2017.9221,0.9221,1,117,3,3.4,71,1.6,1011,0,-1.3,0.0,0.5,0.0,1,0,0,0,0,1,4.770684624465665
